espn_id,full_name,nationality,current_team,league,date_of_birth,age,star_sign,position,image_url
361809,Junior Kroupi,France,AFC Bournemouth,Premier League,2006-06-23,19,Cancer,Forward,
398123,Remy Rees-Dottin,England,AFC Bournemouth,Premier League,2006-03-06,20,Pisces,Forward,
169532,Kepa Arrizabalaga,Spain,Arsenal,Premier League,1994-10-03,31,Libra,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/8/8f/Kepa%2520Arrizabalaga%25202021%2520%2528cropped%2529.jpg
196176,David Raya,Spain,Arsenal,Premier League,1995-09-15,30,Virgo,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/6/6e/David%2520Raya%2520in%25202025%2520%2528cropped%2529.jpg
341729,Alexei Rojas,Colombia,Arsenal,Premier League,2005-09-28,20,Libra,Goalkeeper,
343573,Tommy Setford,England,Arsenal,Premier League,2006-03-13,20,Pisces,Goalkeeper,
386202,Khari Ranson,England,Arsenal,Premier League,2007-09-13,18,Virgo,Goalkeeper,
390095,Jack Porter,England,Arsenal,Premier League,2008-07-15,17,Cancer,Goalkeeper,
236322,Gabriel Magalhães,Brazil,Arsenal,Premier League,1997-12-19,28,Sagittarius,Defender,https://upload.wikimedia.org/wikipedia/commons/0/0d/GabrielLille2019.png
241077,Ben White,England,Arsenal,Premier League,1997-10-08,28,Libra,Defender,https://upload.wikimedia.org/wikipedia/commons/e/e5/Ben%2520White%25202018.jpg
277385,William Saliba,France,Arsenal,Premier League,2001-03-24,25,Aries,Defender,https://upload.wikimedia.org/wikipedia/commons/a/a0/1%2520william%2520saliba%2520arsenal%25202025%2520%2528cropped%2529.jpg
282716,Jurriën Timber,Netherlands,Arsenal,Premier League,2001-06-17,24,Gemini,Defender,https://a.espncdn.com/i/headshots/soccer/players/full/282716.png
292062,Piero Hincapié,Ecuador,Arsenal,Premier League,2002-01-09,24,Capricorn,Defender,https://upload.wikimedia.org/wikipedia/commons/f/ff/Piero%2520Hincapi%25C3%25A9%252C%25202022-07-31%252C%2520Saisoner%25C3%25B6ffnung%2520Bayer%252004%252C%2520Leverkusen%2520%25281%2529.jpg
298329,Riccardo Calafiori,Italy,Arsenal,Premier League,2002-05-19,24,Taurus,Defender,https://upload.wikimedia.org/wikipedia/commons/d/db/2024%2520Emirates%2520Cup%2520-%2520Riccardo%2520Calafiori%2520%25282%2529%2520%2528cropped%2529.jpg
328497,Cristhian Mosquera,Spain,Arsenal,Premier League,2004-06-27,21,Cancer,Defender,
351059,Josh Nichols,England,Arsenal,Premier League,2006-07-26,19,Leo,Defender,
352758,Myles Lewis-Skelly,England,Arsenal,Premier League,2006-09-26,19,Libra,Defender,https://upload.wikimedia.org/wikipedia/commons/e/e1/1_Myles_Lewis-Skelly_arsenal_2025.jpg
374017,Jaden Dixon,England,Arsenal,Premier League,2007-05-07,19,Taurus,Defender,
400284,Marli Salmon,England,Arsenal,Premier League,2009-08-29,16,Virgo,Defender,
178077,Christian Nørgaard,Denmark,Arsenal,Premier League,1994-03-10,32,Pisces,Midfielder,https://upload.wikimedia.org/wikipedia/commons/2/28/Christian%2520N%25C3%25B8rgaard%252C%2520Brentford%2520F.C.%2520footballer%252C%2520May%25202022.jpg
203669,Martin Ødegaard,Norway,Arsenal,Premier League,1998-12-17,27,Sagittarius,Midfielder,https://upload.wikimedia.org/wikipedia/commons/9/9e/Norway%2520Italy%2520-%2520June%25202025%2520E%252004.jpg
209581,Mikel Merino,Spain,Arsenal,Premier League,1996-06-22,29,Cancer,Midfielder,https://upload.wikimedia.org/wikipedia/commons/f/f2/1%2520mikel%2520merino%2520arsenal%25202025%2520%2528cropped%2529.jpg
238262,Declan Rice,England,Arsenal,Premier League,1999-01-14,27,Capricorn,Midfielder,https://upload.wikimedia.org/wikipedia/commons/e/e4/Declan%2520Rice%2520-%252053248276328%2520%2528cropped%2529.jpg
251400,Eberechi Eze,England,Arsenal,Premier League,1998-06-29,27,Cancer,Midfielder,https://upload.wikimedia.org/wikipedia/commons/9/9f/Qpr2018eberechieeze001.jpg
287266,Martín Zubimendi,Spain,Arsenal,Premier League,1999-02-02,27,Aquarius,Midfielder,https://upload.wikimedia.org/wikipedia/commons/8/8a/1%2520Mart%25C3%25ADn%2520Zubimendi%2520arsenal%25202025%2520%2528cropped%2529.jpg
351060,Harrison Dudziak,England,Arsenal,Premier League,2006-01-09,20,Capricorn,Midfielder,
397263,Max Dowman,England,Arsenal,Premier League,2009-12-31,16,Capricorn,Midfielder,https://upload.wikimedia.org/wikipedia/commons/0/02/1%2520max%2520dowman%2520arsenal%25202025%2520%2528cropped%2529.jpg
399894,Ife Ibrahim,England,Arsenal,Premier League,2008-01-20,18,Capricorn,Midfielder,
174980,Leandro Trossard,Belgium,Arsenal,Premier League,1994-12-04,31,Sagittarius,Forward,https://upload.wikimedia.org/wikipedia/commons/e/e1/Leandro%2520Trossard%25202022.jpg
217289,Gabriel Jesus,Brazil,Arsenal,Premier League,1997-04-03,29,Aries,Forward,https://upload.wikimedia.org/wikipedia/commons/e/e0/20180610%2520FIFA%2520Friendly%2520Match%2520Austria%2520vs.%2520Brazil%2520Gabriel%2520Jesus%2520850%25201688.jpg
231182,Kai Havertz,Germany,Arsenal,Premier League,1999-06-11,26,Gemini,Forward,https://upload.wikimedia.org/wikipedia/commons/6/6d/2019-06-11%2520Fu%25C3%259Fball%252C%2520M%25C3%25A4nner%252C%2520L%25C3%25A4nderspiel%252C%2520Deutschland-Estland%2520StP%25202059%2520LR10%2520by%2520Stepro.jpg
258906,Viktor Gyökeres,Sweden,Arsenal,Premier League,1998-06-04,28,Gemini,Forward,https://upload.wikimedia.org/wikipedia/commons/8/8f/Viktor%2520Gy%25C3%25B6keres%25202018.jpg
269844,Gabriel Martinelli,Brazil,Arsenal,Premier League,2001-06-18,24,Gemini,Forward,https://upload.wikimedia.org/wikipedia/commons/c/cb/1%2520Gabriel%2520Martinelli%2520arsenal%25202025%2520%2528cropped%2529.jpg
280555,Bukayo Saka,England,Arsenal,Premier League,2001-09-05,24,Virgo,Forward,https://upload.wikimedia.org/wikipedia/commons/4/45/1%2520bukayo%2520saka%2520arsenal%25202025%2520%2528cropped%2529.jpg
293236,Noni Madueke,England,Arsenal,Premier League,2002-03-10,24,Pisces,Forward,https://a.espncdn.com/i/headshots/soccer/players/full/293236.png
381341,Ceadach O’Neill,Northern Ireland,Arsenal,Premier League,2008-04-10,18,Aries,Forward,
390975,Andre Annous,England,Arsenal,Premier League,2007-12-28,18,Capricorn,Forward,
411237,Brando Bailey-Joseph,England,Arsenal,Premier League,2008-10-02,17,Libra,Forward,
132233,Marco Bizot,Netherlands,Aston Villa,Premier League,1991-03-10,35,Pisces,Goalkeeper,https://a.espncdn.com/i/headshots/soccer/players/full/132233.png
158626,Emiliano Martínez,Argentina,Aston Villa,Premier League,1992-09-02,33,Virgo,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/6/64/St.%2520Louis%2520City%2520vs%2520Aston%2520Villa%2520%2528Jul%25202025%2529%252014%2520%2528Emiliano%2520Mart%25C3%25ADnez%2529.jpg
235319,James Wright,England,Aston Villa,Premier League,2004-12-02,21,Sagittarius,Goalkeeper,
368316,Sam Proctor,England,Aston Villa,Premier League,2006-12-21,19,Sagittarius,Goalkeeper,
370724,Ronnie Hollingshead,Wales,Aston Villa,Premier League,2004-09-09,21,Virgo,Goalkeeper,
409811,Rhys Oakley,England,Aston Villa,Premier League,2008-09-16,17,Virgo,Goalkeeper,
160115,Lucas Digne,France,Aston Villa,Premier League,1993-07-20,32,Cancer,Defender,https://upload.wikimedia.org/wikipedia/commons/2/21/Lucas%2520Digne%2520Everton%2520%2528cropped%2529.jpg
181312,Tyrone Mings,England,Aston Villa,Premier League,1993-03-13,33,Pisces,Defender,https://upload.wikimedia.org/wikipedia/commons/a/ab/Tyron%2520Mings%25202021.jpg
204679,Victor Lindelöf,Sweden,Aston Villa,Premier League,1994-07-17,31,Cancer,Defender,https://upload.wikimedia.org/wikipedia/commons/f/fa/Sweden-Slovenia%2520Nations%2520League%25202022-09-27%25206%2520%2528Victor%2520Lindelof%252C%2520cropped%2529.jpg
231859,Ezri Konsa,England,Aston Villa,Premier League,1997-10-23,28,Scorpio,Defender,https://upload.wikimedia.org/wikipedia/commons/d/db/Ezri%2520Konsa%2520April%25202026%2520%2528cropped%2529.jpg
234698,Matty Cash,Poland,Aston Villa,Premier League,1997-08-07,28,Leo,Defender,https://upload.wikimedia.org/wikipedia/commons/a/a2/Matty%2520Cash.jpg
251100,Pau Torres,Spain,Aston Villa,Premier League,1997-01-16,29,Capricorn,Defender,https://upload.wikimedia.org/wikipedia/commons/6/6c/Pau%2520Torres%2520April%25202026%2520%2528cropped%2529.jpg
281125,Ian Maatsen,Netherlands,Aston Villa,Premier League,2002-03-10,24,Pisces,Defender,https://upload.wikimedia.org/wikipedia/commons/f/f6/Ian%2520Maatsen%2520Aston%2520Villa.jpg
356080,Andrés García,Spain,Aston Villa,Premier League,2003-02-07,23,Aquarius,Defender,
379703,TJ Carroll,England,Aston Villa,Premier League,2007-03-22,19,Aries,Defender,
393671,Leon Routh,England,Aston Villa,Premier League,2007-11-30,18,Sagittarius,Defender,
152469,Ross Barkley,England,Aston Villa,Premier League,1993-12-05,32,Sagittarius,Midfielder,https://upload.wikimedia.org/wikipedia/commons/d/db/Ross%2520Barkley%2520in%25202019.jpg
162843,John McGinn,Scotland,Aston Villa,Premier League,1994-10-18,31,Libra,Midfielder,https://upload.wikimedia.org/wikipedia/commons/c/cd/First%2520Minister%2520meets%2520with%2520Scottish%2520National%2520Football%2520Team%2520%25282%2529%2520%2528cropped%2529.jpg
193297,Youri Tielemans,Belgium,Aston Villa,Premier League,1997-05-07,29,Taurus,Midfielder,https://upload.wikimedia.org/wikipedia/commons/9/9a/Youri%2520Tielemans%2520USMNT%2520v%2520Belgium%2520Mar%252028%25202026-20%2520%2528cropped%2529.jpg
214375,Emiliano Buendía,Argentina,Aston Villa,Premier League,1996-12-25,29,Capricorn,Midfielder,https://upload.wikimedia.org/wikipedia/commons/e/e6/Emilano_Buendia_April_2026_%28cropped%29.jpg
250936,Boubacar Kamara,France,Aston Villa,Premier League,1999-11-23,26,Sagittarius,Midfielder,https://upload.wikimedia.org/wikipedia/commons/1/18/Lens%2520-%2520Marseille%2520%252822-01-2022%2529%252017.jpg
280806,Harvey Elliott,England,Aston Villa,Premier League,2003-04-04,23,Aries,Midfielder,https://upload.wikimedia.org/wikipedia/commons/4/44/2022-07-21%2520Fu%25C3%259Fball%252C%2520M%25C3%25A4nner%252CFreundschaftsspiel%252C%2520RB%2520Leipzig%2520-%2520FC%2520Liverpool%25201DX%25202224%2520by%2520Stepro.jpg
304799,Amadou Onana,Belgium,Aston Villa,Premier League,2001-08-16,24,Leo,Midfielder,https://upload.wikimedia.org/wikipedia/commons/4/49/RC%2520Lens%2520-%2520Lille%2520OSC%2520%252817-09-2021%2529%25209%2520%2528cropped%2529.jpg
310607,Lamare Bogarde,Netherlands,Aston Villa,Premier League,2004-01-05,22,Capricorn,Midfielder,https://upload.wikimedia.org/wikipedia/commons/7/78/Lamare%2520Bogarde%2520July%25202025.jpg
320074,Douglas Luiz,Brazil,Aston Villa,Premier League,1998-05-09,28,Taurus,Midfielder,https://upload.wikimedia.org/wikipedia/commons/4/4d/Douglas%2520Luiz%2520April%25202026%2520%2528cropped%2529.jpg
366248,George Hemmings,England,Aston Villa,Premier League,2007-03-04,19,Pisces,Midfielder,
385004,Mohamed Koné,Ivory Coast,Aston Villa,Premier League,2007-07-03,18,Cancer,Midfielder,https://upload.wikimedia.org/wikipedia/commons/3/36/KapfenbergJudenburg15.jpg
393425,Bradley Burrowes,England,Aston Villa,Premier League,2008-03-04,18,Pisces,Midfielder,https://upload.wikimedia.org/wikipedia/commons/8/8d/Bradley_Burrowes_28012025_%281%29.jpg
198825,Ollie Watkins,England,Aston Villa,Premier League,1995-12-30,30,Capricorn,Forward,https://upload.wikimedia.org/wikipedia/commons/7/76/Manchester%2520United%2520v%2520Aston%2520Villa%252C%252025%2520September%25202021%2520%252817%2529%2520%2528cropped%2529.jpg
224809,Leon Bailey,Jamaica,Aston Villa,Premier League,1997-08-09,28,Leo,Forward,https://upload.wikimedia.org/wikipedia/commons/9/92/Leon%2520Bailey%2520bei%2520der%2520Saisoneroeffnung%2520August%25202018.jpg
236209,Tammy Abraham,England,Aston Villa,Premier League,1997-10-02,28,Libra,Forward,https://upload.wikimedia.org/wikipedia/commons/3/30/FC%2520Salzburg%2520gegen%2520AS%2520Roma%2520%2528UEFA%2520Euroleague%2520play-off%252C%25202023-02-16%2529%252039%2520%2528cropped2%2529.jpg
259836,Jadon Sancho,England,Aston Villa,Premier League,2000-03-25,26,Aries,Forward,https://upload.wikimedia.org/wikipedia/commons/b/ba/Manchester%2520United%2520v%2520Liverpool%252C%252022%2520August%25202022%2520%252833%2529%2520%2528cropped%2529.jpg
265653,Morgan Rogers,England,Aston Villa,Premier League,2002-07-26,23,Leo,Midfielder,https://upload.wikimedia.org/wikipedia/commons/c/c4/Morgan%2520Rogers%2520April%25202026%2520%2528cropped%2529.jpg
382839,Alysson,Brazil,Aston Villa,Premier League,2006-05-05,20,Taurus,Forward,
401451,Brian Madjo,England,Aston Villa,Premier League,2009-01-12,17,Capricorn,Forward,
249527,Ellery Balcombe,England,Brentford,Premier League,1999-10-15,26,Libra,Goalkeeper,
275599,Caoimhín Kelleher,Republic of Ireland,Brentford,Premier League,1998-11-23,27,Sagittarius,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/5/56/Liverpool%2520FC%2520gegen%25201.%2520FSV%2520Mainz%252005%2520%2528Testspiel%252023.%2520Juli%25202021%2529%252010.jpg
311527,Hákon Valdimarsson,Iceland,Brentford,Premier League,2001-10-13,24,Libra,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/0/05/H%25C3%25A1kon%2520Rafn%2520Valdimarsson%2520%2528Elfsborg%2520vs%2520AIK%252C%252023%2520October%25202023%2529.jpg
368826,Julian Eyestone,USA,Brentford,Premier League,2006-04-21,20,Taurus,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/7/74/Julian_Eyestone_19042026_%283%29.jpg
206173,Kristoffer Ajer,Norway,Brentford,Premier League,1998-04-17,28,Aries,Defender,https://upload.wikimedia.org/wikipedia/commons/a/ad/Norway_Italy_-_June_2025_E_21_%28cropped%29.jpg
206761,Rico Henry,Jamaica,Brentford,Premier League,1997-07-08,28,Cancer,Defender,https://upload.wikimedia.org/wikipedia/commons/6/60/Rico%2520Henry%252C%2520Walsall%2520FC%2520footballer%252C%2520Bescot%2520Stadium%252C%2520September%25202015.jpg
221694,Conor Mcmanus,Scotland,Brentford,Premier League,2004-06-16,21,Gemini,Defender,
241093,Ethan Pinnock,Jamaica,Brentford,Premier League,1993-05-29,33,Gemini,Defender,https://upload.wikimedia.org/wikipedia/commons/4/45/Ethan_Pinnock%2C_footballer%2C_February_2015.jpg
270507,Sepp van den Berg,Netherlands,Brentford,Premier League,2001-12-20,24,Sagittarius,Defender,https://upload.wikimedia.org/wikipedia/commons/5/51/Sepp%2520van%2520den%2520berg-1545340900%2520%2528cropped%2529.jpeg
279780,Nathan Collins,Republic of Ireland,Brentford,Premier League,2001-04-30,25,Taurus,Defender,https://upload.wikimedia.org/wikipedia/commons/8/81/Nathan_Collins_%28cropped%29_WWFC_training_before_a_West_Ham_match.jpg
283940,Aaron Hickey,Scotland,Brentford,Premier League,2002-06-10,23,Gemini,Defender,https://upload.wikimedia.org/wikipedia/commons/e/e2/Aaron_Hickey_02082025_%281%29.jpg
284490,Keane Lewis-Potter,England,Brentford,Premier League,2001-02-22,25,Pisces,Defender,https://upload.wikimedia.org/wikipedia/commons/8/85/Keane_Lewis-Potter_2022_%282%29_%28cropped%29.jpg
356640,Michael Kayode,Italy,Brentford,Premier League,2004-07-10,21,Cancer,Defender,https://upload.wikimedia.org/wikipedia/commons/9/97/Brentford_v_AFC_Bournemouth_27122025_%28Kayode%29.jpg
408469,Joshua Stephenson,England,Brentford,Premier League,2007-09-04,18,Virgo,Defender,
419118,Ollie Shield,England,Brentford,Premier League,2006-09-25,19,Libra,Defender,
127262,Jordan Henderson,England,Brentford,Premier League,1990-06-17,35,Gemini,Midfielder,https://upload.wikimedia.org/wikipedia/commons/f/f8/2022-07-21%2520Fu%25C3%259Fball%252C%2520M%25C3%25A4nner%252CFreundschaftsspiel%252C%2520RB%2520Leipzig%2520-%2520FC%2520Liverpool%25201DX%25202238%2520by%2520Stepro.jpg
225564,Vitaly Janelt,Germany,Brentford,Premier League,1998-05-10,28,Taurus,Midfielder,https://upload.wikimedia.org/wikipedia/commons/2/20/Vitaly%2520Janelt%252029112025%2520%25282%2529.jpg
227472,Mathias Jensen,Denmark,Brentford,Premier League,1996-01-01,30,Capricorn,Midfielder,https://upload.wikimedia.org/wikipedia/commons/4/46/Mathias%2520Jensen%2520XXIII%2520Memorial%2520Quinocho%2520%2528RC%2520Celta%2520vs%2520Mainz%252005%2529%2520%2528cropped%2529.jpg
231049,Fábio Carvalho,Portugal,Brentford,Premier League,2002-08-30,23,Virgo,Midfielder,https://upload.wikimedia.org/wikipedia/commons/a/a1/2022-07-21%2520Fabio%2520Carvalho%2520%2528cropped%2529.jpg
246309,Josh Dasilva,England,Brentford,Premier League,1998-10-23,27,Scorpio,Midfielder,
308932,Mikkel Damsgaard,Denmark,Brentford,Premier League,2000-07-03,25,Cancer,Midfielder,https://upload.wikimedia.org/wikipedia/commons/6/6c/Mikkel%2520Damsgaard%252029112025%2520%25282%2529%2520%2528cropped%2529.jpg
310958,Kevin Schade,Germany,Brentford,Premier League,2001-11-27,24,Sagittarius,Midfielder,https://upload.wikimedia.org/wikipedia/commons/5/5a/Kevin_Schade_02082025_%281%29.jpg
315530,Dango Ouattara,Burkina Faso,Brentford,Premier League,2002-02-11,24,Aquarius,Midfielder,https://upload.wikimedia.org/wikipedia/commons/7/76/Dango%2520Ouattara%25202023.jpg
321081,Antoni Milambo,Netherlands,Brentford,Premier League,2005-04-03,21,Aries,Midfielder,https://a.espncdn.com/i/headshots/soccer/players/full/321081.png
342029,Yehor Yarmoliuk,Ukraine,Brentford,Premier League,2004-03-01,22,Pisces,Midfielder,
357477,Romelle Donovan,England,Brentford,Premier League,2006-11-30,19,Sagittarius,Midfielder,https://upload.wikimedia.org/wikipedia/commons/7/7c/Romelle_Donovan_2023.jpg
387785,Riley Owen,England,Brentford,Premier League,2005-08-24,20,Virgo,Midfielder,
418500,Luka Bentt,Belgium,Brentford,Premier League,2007-10-01,18,Libra,Midfielder,https://upload.wikimedia.org/wikipedia/commons/8/8d/Luka_Bentt%2C_Brentford_F.C.%2C_April_2026.jpg
227794,Reiss Nelson,England,Brentford,Premier League,1999-12-10,26,Sagittarius,Forward,https://upload.wikimedia.org/wikipedia/commons/d/d5/1%2520reiss%2520nelson%2520arsenal%25202025.jpg
301894,Igor Thiago,Brazil,Brentford,Premier League,2001-06-26,24,Cancer,Forward,https://upload.wikimedia.org/wikipedia/commons/f/f6/Brentford%2520Players%252027122025%2520%25284%2529%2520%2528cropped%2529.jpg
394418,Kaye Furo,Belgium,Brentford,Premier League,2007-02-06,19,Aquarius,Forward,
111114,Jason Steele,England,Brighton & Hove Albion,Premier League,1990-08-18,35,Leo,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/d/d1/Jason%2520Steele.jpg
248761,Tom McGill,Canada,Brighton & Hove Albion,Premier League,2000-03-25,26,Aries,Goalkeeper,
291609,Bart Verbruggen,Netherlands,Brighton & Hove Albion,Premier League,2002-08-18,23,Leo,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/a/a8/Bart%2520Verbruggen.png
376499,Nils Ramming,Sweden,Brighton & Hove Albion,Premier League,2007-03-28,19,Aries,Goalkeeper,https://upload.wikimedia.org/wikipedia/commons/f/f0/Nils_Ramming_24012026_%283%29.jpg
17828,Adam Webster,England,Brighton & Hove Albion,Premier League,1995-01-04,31,Capricorn,Defender,https://upload.wikimedia.org/wikipedia/commons/6/6b/AdamWebsterIpsBar1.jpg
147106,Lewis Dunk,England,Brighton & Hove Albion,Premier League,1991-11-21,34,Scorpio,Defender,https://upload.wikimedia.org/wikipedia/commons/4/46/BHA%25205%2520v%2520Espanyol%25201%2520pre%2520season%252030%252007%25202022%252003.jpg
170597,Joël Veltman,Netherlands,Brighton & Hove Albion,Premier League,1992-01-15,34,Capricorn,Defender,https://upload.wikimedia.org/wikipedia/commons/f/f8/Jo%25C3%25ABl%2520Veltman%25202022%2520%2528cropped%2529%2520%25282%2529.jpg
216017,Olivier Boscagli,France,Brighton & Hove Albion,Premier League,1997-11-18,28,Scorpio,Defender,https://a.espncdn.com/i/headshots/soccer/players/full/216017.png
234143,Igor Julio,Brazil,Brighton & Hove Albion,Premier League,1998-02-07,28,Aquarius,Defender,https://upload.wikimedia.org/wikipedia/commons/2/28/FC_Liefering_gegen_SV_Horn_%2822._Juli_2016%29_50.jpg
238318,Ferdi Kadioglu,Türkiye,Brighton & Hove Albion,Premier League,1999-10-07,26,Libra,Defender,https://upload.wikimedia.org/wikipedia/commons/8/89/Ferdi_Kad%C4%B1o%C4%9Flu_2024.jpg
282583,Jan Paul van Hecke,Netherlands,Brighton & Hove Albion,Premier League,2000-06-08,26,Gemini,Defender,https://a.espncdn.com/i/headshots/soccer/players/full/282583.png
301327,Maxim De Cuyper,Belgium,Brighton & Hove Albion,Premier League,2000-12-22,25,Capricorn,Defender,https://upload.wikimedia.org/wikipedia/commons/a/a5/Maxim%2520De%2520Cuyper%2520USMNT%2520v%2520Belgium%2520Mar%252028%25202026-79%2520%2528cropped%2529.jpg
371698,Charlie Tasker,England,Brighton & Hove Albion,Premier League,2006-02-24,20,Pisces,Defender,
372020,Freddie Simmonds,England,Brighton & Hove Albion,Premier League,2008-03-09,18,Pisces,Defender,
26843,James Milner,England,Brighton & Hove Albion,Premier League,1986-01-04,40,Capricorn,Midfielder,https://upload.wikimedia.org/wikipedia/commons/8/8e/James%2520Milner%25202022-07-21%2520Fu%25C3%259Fball%252C%2520M%25C3%25A4nner%252CFreundschaftsspiel%252C%2520RB%2520Leipzig%2520-%2520FC%2520Liverpool%25201DX%25202223%2520by%2520Stepro%2520%2528cropped%2529.jpg
132659,Pascal Gross,Germany,Brighton & Hove Albion,Premier League,1991-06-15,34,Gemini,Midfielder,https://upload.wikimedia.org/wikipedia/commons/8/8c/PASCAL_GROSS.jpg
